Black girl free rent,https://london.craigslist.org/apa/d/london-black-girl-free-rent/7317122654.html
"pw - STUNNING LARGE DOUBLE STUDIO FLAT FOR RENT, Bloomsbury, WC1",https://london.craigslist.org/apa/d/london-pw-stunning-large-double-studio/7326919436.html
"BEAUTIFUL SAFE CHELSEA FLAT SHORT /LONG LET: AVAILABLE JUNE12, 2021",https://london.craigslist.org/apa/d/london-beautiful-safe-chelsea-flat/7326837501.html
"MODERN DOUBLE  FURNISHED ROOM, BILLS INCLUDED",https://london.craigslist.org/apa/d/london-modern-double-furnished-room/7325788930.html
Double Bedroom For Rent,https://london.craigslist.org/apa/d/london-double-bedroom-for-rent/7325783700.html
"Studio flat in Mornington Avenue, London",https://london.craigslist.org/apa/d/london-studio-flat-in-mornington-avenue/7325777763.html
"1 bedroom in Medway Street, London",https://london.craigslist.org/apa/d/london-bedroom-in-medway-street-london/7325784327.html
FREE large double room,https://london.craigslist.org/roo/d/slough-free-large-double-room/7326722647.html
Large double room available (FREE),https://london.craigslist.org/roo/d/slough-large-double-room-available-free/7316640117.html
PRIME LOCATION DOUBLE ROOM PROF FEMALE FLATSHARE 3BED 2 BATHS,https://london.craigslist.org/roo/d/london-prime-location-double-room-prof/7326721732.html
"Charming studio, central location",https://london.craigslist.org/apa/d/london-charming-studio-central-location/7325554309.html
Teen male looking to live with older woman,https://london.craigslist.org/sha/d/teen-male-looking-to-live-with-older/7326559292.html
British guy in Costa Blanca has a free home share to offer.,https://london.craigslist.org/roo/d/london-british-guy-in-costa-blanca-has/7326489111.html
"1 bedroom flat in 39 Hill Street, Mayfair , W1J",https://london.craigslist.org/apa/d/london-bedroom-flat-in-39-hill-street/7314878106.html
Cosy Double Bedroom West Hampstead,https://london.craigslist.org/apa/d/london-cosy-double-bedroom-west/7313698857.html
"All Bills Included Friendly, Clean, Great Location",https://london.craigslist.org/apa/d/london-all-bills-included-friendly/7313697484.html
"1 bedroom flat in Wellington Court, London",https://london.craigslist.org/apa/d/london-bedroom-flat-in-wellington-court/7318853398.html
